source_id,citation_text,domains,evidence_tier,urls,anchor
S01,"Ekman, P., & Friesen, W. V. (1978). *Facial Action Coding System: A Technique for the Measurement of Facial Movement*. Consulting Psychologists Press.",facial_action_coding;facial_behavior,established_or_foundational,,source-S01
S02,"Ekman, P., Friesen, W. V., & Hager, J. C. (2002). *Facial Action Coding System: The Manual on CD-ROM*. A Human Face.",facial_action_coding;facial_behavior,established_or_foundational,,source-S02
S03,"Mollahosseini, A., Hasani, B., & Mahoor, M. H. (2017; journal issue 2019). AffectNet: A database for facial expression, valence, and arousal computing in the wild. *IEEE Transactions on Affective Computing, 10*(1), 18–31. https://doi.org/10.1109/TAFFC.2017.2740923 · https://arxiv.org/abs/1708.03985",facial_action_coding;facial_behavior,established_or_foundational,https://doi.org/10.1109/TAFFC.2017.2740923;https://arxiv.org/abs/1708.03985,source-S03
S04,"Mavadati, S. M., Mahoor, M. H., Bartlett, K., Trinh, P., & Cohn, J. F. (2013). DISFA: A spontaneous facial action intensity database. *IEEE Transactions on Affective Computing, 4*(2), 151–160. https://doi.org/10.1109/T-AFFC.2013.4",facial_action_coding;facial_behavior,established_or_foundational,https://doi.org/10.1109/T-AFFC.2013.4,source-S04
S05,"Valstar, M. F., & Pantic, M. (2006). Fully automatic facial action unit detection and temporal analysis. In *Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition Workshops*. https://doi.org/10.1109/CVPRW.2006.85",facial_action_coding;facial_behavior,established_or_foundational,https://doi.org/10.1109/CVPRW.2006.85,source-S05
S06,"Valstar, M. F., & Pantic, M. (2012). Fully automatic recognition of the temporal phases of facial actions. *IEEE Transactions on Systems, Man, and Cybernetics, Part B, 42*(1), 28–43. https://doi.org/10.1109/TSMCB.2011.2163710",facial_action_coding;facial_behavior,established_or_foundational,https://doi.org/10.1109/TSMCB.2011.2163710,source-S06
S07,"Russell, J. A. (1980). A circumplex model of affect. *Journal of Personality and Social Psychology, 39*(6), 1161–1178. https://doi.org/10.1037/h0077714",affective_science,established_or_foundational,https://doi.org/10.1037/h0077714,source-S07
S08,"Mehrabian, A., & Russell, J. A. (1974). *An Approach to Environmental Psychology*. MIT Press.",affective_science,established_or_foundational,,source-S08
S08A,"Bradley, M. M., & Lang, P. J. (1994). Measuring emotion: The Self-Assessment Manikin and the semantic differential. *Journal of Behavior Therapy and Experimental Psychiatry, 25*(1), 49–59. https://doi.org/10.1016/0005-7916(94)90063-9",affective_science;measurement,established_or_foundational,https://doi.org/10.1016/0005-7916(94)90063-9,source-S08A
S09,"Pumarola, A., Agudo, A., Martinez, A. M., Sanfeliu, A., & Moreno-Noguer, F. (2018). GANimation: Anatomically-aware facial animation from a single image. In *European Conference on Computer Vision (ECCV)*. https://doi.org/10.1007/978-3-030-01249-6_50 · https://arxiv.org/abs/1807.09251",facial_generation;affective_computing,established_or_foundational,https://doi.org/10.1007/978-3-030-01249-6_50;https://arxiv.org/abs/1807.09251,source-S09
S10,"Tripathy, S., Kannala, J., & Rahtu, E. (2020). ICface: Interpretable and controllable face reenactment using GANs. In *IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)*, 3385–3394. https://openaccess.thecvf.com/content_WACV_2020/html/Tripathy_ICface_Interpretable_and_Controllable_Face_Reenactment_Using_GANs_WACV_2020_paper.html · https://arxiv.org/abs/1904.01909",facial_generation;affective_computing,established_or_foundational,https://openaccess.thecvf.com/content_WACV_2020/html/Tripathy_ICface_Interpretable_and_Controllable_Face_Reenactment_Using_GANs_WACV_2020_paper.html;https://arxiv.org/abs/1904.01909,source-S10
S11,"Tripathy, S., Kannala, J., & Rahtu, E. (2021). FACEGAN: Facial Attribute Controllable rEenactment GAN. In *IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)*. https://openaccess.thecvf.com/content/WACV2021/html/Tripathy_FACEGAN_Facial_Attribute_Controllable_rEenactment_GAN_WACV_2021_paper.html · https://arxiv.org/abs/2011.04439",facial_generation;affective_computing,established_or_foundational,https://openaccess.thecvf.com/content/WACV2021/html/Tripathy_FACEGAN_Facial_Attribute_Controllable_rEenactment_GAN_WACV_2021_paper.html;https://arxiv.org/abs/2011.04439,source-S11
