id	title	url
S001	Getting Started with Inverse Kinematics	https://opensimconfluence.atlassian.net/wiki/spaces/OpenSim/pages/53090032/Getting+Started+with+Inverse+Kinematics
S002	Getting Started with Inverse Dynamics	https://opensimconfluence.atlassian.net/wiki/spaces/OpenSim/pages/53090063/Getting+Started+with+Inverse+Dynamics
S003	OpenSim Models: Joints and Kinematic Constraints	https://opensimconfluence.atlassian.net/wiki/spaces/OpenSim/pages/53088473/OpenSim+Models
S004	Moco: optimal control in OpenSim	https://opensim-org.github.io/opensim-moco-site/
S005	ISB recommendations on the reporting of intersegmental forces and moments during human motion analysis	https://doi.org/10.1016/j.jbiomech.2019.109533
S006	On the Continuity of Rotation Representations in Neural Networks	https://openaccess.thecvf.com/content_CVPR_2019/html/Zhou_On_the_Continuity_of_Rotation_Representations_in_Neural_Networks_CVPR_2019_paper.html
S007	QuaterNet: A Quaternion-based Recurrent Model for Human Motion	https://arxiv.org/abs/1805.06485
S008	Phase-Functioned Neural Networks for Character Control	https://doi.org/10.1145/3072959.3073663
S009	Local Motion Phases for Learning Multi-Contact Character Movements	https://doi.org/10.1145/3386569.3392450
S010	DeepMimic: Example-Guided Deep Reinforcement Learning of Physics-Based Character Skills	https://arxiv.org/abs/1804.02717
S011	Motion Matching in Unreal Engine	https://dev.epicgames.com/documentation/en-us/unreal-engine/motion-matching-in-unreal-engine
S012	Root Motion in Unreal Engine	https://dev.epicgames.com/documentation/en-us/unreal-engine/root-motion-in-unreal-engine
S013	Control Rig Full-Body IK in Unreal Engine	https://dev.epicgames.com/documentation/en-us/unreal-engine/control-rig-full-body-ik-in-unreal-engine
S014	Root Motion Node on Imported Clips	https://docs.unity3d.com/6000.0/Documentation/Manual/AnimationRootMotionNodeOnImportedClips.html
S015	Animation Rigging: Chain IK Constraint	https://docs.unity3d.com/Packages/com.unity.animation.rigging@1.2/manual/constraints/ChainIKConstraint.html
S016	Real-time Motion Retargeting to Highly Varied User-Created Morphologies	https://doi.org/10.1145/1399504.1360626
S017	Skeleton-Aware Networks for Deep Motion Retargeting	https://arxiv.org/abs/2005.05732
S018	R2ET: A General-Purpose Motion Retargeting Network Preserving Motion Semantics and Geometry	https://openaccess.thecvf.com/content/CVPR2023/html/Zhu_R2ET_A_General-Purpose_Motion_Retargeting_Network_Preserving_Motion_Semantics_and_Geometry_CVPR_2023_paper.html
S019	BioVision Hierarchy Motion Capture Format	https://research.cs.wisc.edu/graphics/Courses/cs-838-1999/Jeff/BVH.html
S020	FBX SDK Animation System	https://help.autodesk.com/view/FBX/2020/ENU/?guid=FBX_Developer_Help_animation_animation_html
S021	FBX and BVH Import/Export	https://docs.blender.org/manual/en/latest/addons/import_export/index.html
S022	Labanotation Fundamentals	https://www.dancenotation.org/labanotation-fundamentals/
S023	Kinetography Laban / Labanotation	https://ickl.org/
S024	Benesh Movement Notation	https://www.royalacademyofdance.org/benesh-international/
S025	The Mastery of Movement	https://books.google.com/books/about/The_Mastery_of_Movement.html?id=jRysKQEACAAJ
S026	Body—Space—Expression: The Development of Rudolf Laban's Movement and Dance Concepts	https://doi.org/10.1515/9783110861839
S027	Actor Training the Laban Way: An Integrated Approach to Voice, Speech, and Movement	https://www.skyhorsepublishing.com/9781581157482/actor-training-the-laban-way/
S028	EMOTE Model for Effort and Shape	https://doi.org/10.1145/344779.344862
S029	LaMoGen: Laban-Guided Human Motion Generation	https://arxiv.org/abs/2509.24469
S030	Style-Based Motion Synthesis and Laban Movement Analysis	https://doi.org/10.1145/2816795.2818120
S031	Facial Action Coding System: The Manual	https://www.paulekman.com/product/facs-manual/
S032	What is FACS?	https://www.paulekman.com/facial-action-coding-system/
S033	OpenFace 2.0: Facial Behavior Analysis Toolkit	https://doi.org/10.1109/FG.2018.00019
S034	Performance Driven Facial Animation Using Blendshape Interpolation	https://graphics.stanford.edu/~echuang/face/
S035	SAMM Long Videos: A Spontaneous Facial Micro- and Macro-Expressions Dataset	https://arxiv.org/abs/1911.01519
S036	Locomotor-Respiratory Coupling in Humans	https://pubmed.ncbi.nlm.nih.gov/6618997/
S037	Eye Movements in Natural Behavior	https://doi.org/10.1016/S0042-6989(01)00102-9
S038	Universal and Individual Characteristics of Postural Sway	https://pmc.ncbi.nlm.nih.gov/articles/PMC4393163/
S039	Emotion Recognition Using Kinect Motion Capture Data of Human Gaits	https://pmc.ncbi.nlm.nih.gov/articles/PMC5028730/
S040	Evidence of Big Five and Aggressive Personalities in Gait Biomechanics	https://pmc.ncbi.nlm.nih.gov/articles/PMC5283505/
S041	Kinematic Analysis of Proximal-to-Distal and Simultaneous Motion Sequencing of Straight Punches	https://doi.org/10.1080/14763141.2017.1365928
S042	An Analysis of the Three-Dimensional Kinetics and Kinematics of Maximal Effort Punches among Amateur Boxers	https://doi.org/10.1080/24748668.2018.1525651
